CARGA,Pallet,FECHA DE CIERRE,124440,124543,126475,126800,126894,127550,127556,127571,127575,127802,127923,127924,127925,128193,128378,128431,128432,128450,128715,31811,44825,48205,514475,514494,514496,514719,514846,514855,514863,514866,514867,514926,514929,514949,514950,515101,515108,515120,515122,515123,C3H,CB2,CT1,TARIMA
BAAOB24909442,30,40680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,49.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,294.0,294.0,0.0,0.0,0.0,0.0,0.0
BAAOB24917277,30,39245,0.0,0.0,0.0,0.0,0.0,98.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24912024,30,39845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,0.0,455.0,245.0,0.0,0.0,147.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24917260,30,39640,0.0,0.0,0.0,0.0,49.0,196.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,49.0,0.0,0.0,196.0,0.0,0.0,0.0,364.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24917249,30,39608,330.0,0.0,0.0,0.0,147.0,49.0,0.0,0.0,0.0,0.0,0.0,49.0,990.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,330.0,49.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24920231,30,39588,0.0,0.0,0.0,0.0,98.0,98.0,0.0,91.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,196.0,0.0,0.0,147.0,0.0,0.0,0.0,546.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24909429,30,39143,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,364.0,0.0,245.0,294.0,0.0,0.0,0.0,0.0,0.0
BAAOB24926489,30,39244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,546.0,196.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24909420,26,40132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24927623,26,39325,0.0,0.0,0.0,0.0,0.0,49.0,96.0,91.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,294.0,0.0,0.0,98.0,0.0,0.0,98.0,0.0,0.0,0.0,637.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24927631,26,40288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,182.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24920062,26,39985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0
BAAOB24909414,26,40561,0.0,0.0,0.0,0.0,98.0,0.0,0.0,182.0,0.0,0.0,91.0,98.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,546.0,0.0,147.0,196.0,0.0,0.0,0.0,0.0,0.0
