Articulo,Descripcion de articulo,Precio de venta
123308,Golden Nuts Salado Pc 1p 150g FLOW BAR,664.25
2530,Chips Sal 1p 170g FLOW BAR,427.79
124358,Takis Original 1p 56g FLOW BAR,546.72
38612,Hot Nuts Original 1p 100g FLOW BAR,664.3
124440,Golden Nuts Japones Nvo Pc 1p 100g FLOW BAR,664.3
124443,Kiyakis Nvo Pc 1p 50g FLOW BAR,806.96
38585,Golden Nuts Salado 1p 100g FLOW BAR,759.2
124445,Kiyakis Nvo Pc 1p 95g FLOW BAR,489.2
514862,Papas Barcel Sal 1p 28g FLOW BAR,466.8
514961,Pop Chilix Sandia 1p 90g TIRA POP,293.28
128771,Takis Hexas Queso PC 1p 50g FLOW BAR,280.0
126133,Golden Nuts Enchilado Nvo 1p 78g FLOW BAR,860.8
126135,Golden Nuts Salado Nvo 1p 78g FLOW BAR,860.8
6011,Chips Jalapeno 1p 100g FLOW BAR,607.4
38447,Chips Fuego 1p 100g FLOW BAR,607.4
125056,Takis Fuego 1p 260g FLOW BAR,403.32
514419,TakisWaves BlueHeat 12ct 8oz227g CASE BAR EXP,13.91
126497,Takis Waves Fue 12ct 8oz227g CASE EXP BAR,13.66
514507,Runners Watz Queso 1p 42g TIRA BAR,233.4
514506,Runners Watz Fuego 1p 42g TIRA BAR,233.4
514649,RunnersWatz InglesaLimon 1p 42g FLOW BAR,233.4
514536,Runners Watz Fuego 1p 80g TIRA BAR,248.96
514537,Runners Watz Queso 1p 80g TIRA BAR,248.96
514490,Takis Fajita PC 1p 390g FLOW BAR,607.4
514494,Takis Fuego PC 1p 390g FLOW BAR,607.4
514578,Takis Salsa Brava PC 1p 240g FLOW BAR,473.76
514472,Takis Fuego PC 1p 94g FLOW BAR,531.65
128376,Chips Papatinas Chillix PC 1p 200g FLOW BAR,709.92
127556,Papas Barcel Sal NC PC 1p 170g BOLSA BAR,329.2
126481,Chips Sal Pc 1p 150g FLOW BAR,501.12
125191,Chips Fuego 1p 240g FLOW BAR,498.08
125192,Chips Jalapeno 1p 240g FLOW BAR,498.08
125193,Chips Sal 1p 240g FLOW BAR,498.08
123258,Runners Pc 1p 280g FLOW BAR,592.2
35549,Chicharron Cerdo 1p 90g FLOW BAR,429.0
